sid,freq
28983,3114
9040,1362
33944,1353
32524,1153
9002,1146
18044,1130
25106,1076
27204,1023
26338,1011
13680,989
31635,975
16322,963
16341,963
6964,958
5752,937
31188,934
4100,933
16038,918
17238,897
17955,841
5857,830
10027,820
32027,816
29571,814
23763,803
29422,757
28070,701
11818,685
10254,671
590,662
23143,656
10186,649
32144,642
11947,640
20706,640
14400,613
3283,613
13914,612
22489,604
30758,602
8967,598
20637,596
7384,594
16370,584
25475,575
14180,572
8897,566
23557,560
11649,559
32878,558
24927,557
975,556
8651,549
22582,546
31797,545
120,532
16730,529
6704,527
12624,524
34245,523
27662,523
21920,519
14951,517
2795,514
9852,512
17020,511
15069,498
7300,495
6317,492
8087,488
4860,479
15502,478
29678,470
33950,468
20683,460
5268,457
490,448
10378,448
3316,447
21615,441
7364,441
23776,438
22723,437
34225,436
34234,431
4485,430
9580,429
28296,427
28657,425
15695,425
16541,425
2176,424
8671,423
21403,422
7513,421
5256,420
17274,419
3830,417
33228,417
20237,414
27414,411
1003,411
3968,410
31215,410
14204,408
21683,407
25985,406
5824,405
7865,401
21669,398
2171,398
24786,396
15089,395
15547,395
854,395
140,392
7417,390
23407,389
720,387
1495,387
3865,386
17457,384
7593,384
14995,382
24850,382
19084,381
7737,380
29395,378
34282,374
5383,374
4766,372
32229,368
12308,366
3242,363
825,362
10552,360
307,357
634,356
24133,356
23515,356
26557,356
20438,355
14462,352
18583,350
6057,350
12883,348
16183,347
32172,347
11418,346
1724,346
23865,346
11907,344
23510,344
356,343
31549,342
30220,341
19244,340
12202,340
27071,339
14908,339
30526,339
34203,338
32228,338
25998,337
23551,336
24481,335
24379,331
13981,331
6851,328
22692,327
27744,324
15456,323
19661,320
16806,319
10166,319
1549,317
24675,317
34461,315
15300,314
33619,314
16212,313
9910,313
4340,312
34398,312
11731,310
20138,310
19498,310
15495,309
23247,309
22143,309
11691,309
16378,308
5146,306
12861,306
15747,305
386,304
32018,303
30303,302
11605,298
18162,297
25634,297
18472,297
19044,296
4221,296
5631,296
11650,295
6703,293
14064,292
25390,291
22656,291
15193,291
14638,291
33704,291
20418,290
21365,290
16312,287
2466,287
6883,287
30753,287
11100,286
33167,286
22181,286
9124,284
20714,282
31578,281
11464,280
17988,279
29223,279
8350,278
