,sid
22242,3114
1932,1362
24539,1353
21026,1153
32833,1146
19672,1130
32066,1076
23238,1023
14264,1011
21153,989
27071,975
19937,963
19617,963
11138,958
1134,937
15664,934
929,933
28168,918
22677,897
28342,841
10483,830
28002,820
33209,816
13528,814
29809,803
22539,757
9433,701
7106,685
13690,671
5790,662
28786,656
8260,649
30673,642
30109,640
20003,640
23456,613
3132,613
22412,612
341,604
23996,602
25428,598
7879,596
24798,594
20576,584
18329,575
13706,572
5027,566
31695,560
27414,559
17302,558
7772,557
31575,556
9283,549
20143,546
28409,545
8657,532
18669,529
22766,527
1474,524
33146,523
27687,523
30734,519
24334,517
34552,514
7147,512
30257,511
483,498
30494,495
9755,492
4789,488
30308,479
20090,478
415,470
17994,468
33776,460
3291,457
8767,448
7074,448
29815,447
24635,441
27351,441
27272,438
7742,437
1839,436
7582,431
20792,430
29337,429
29277,427
20990,425
11025,425
780,425
23612,424
11799,423
28893,422
27999,421
28304,420
11865,419
33981,417
27616,417
9351,414
13517,411
25485,411
19339,410
32199,410
20367,408
9919,407
30460,406
28315,405
23288,401
33883,398
14033,398
26754,396
30318,395
7621,395
33284,395
31118,392
31475,390
8518,389
30216,387
18397,387
3102,386
31700,384
5065,384
8928,382
1489,382
9167,381
28160,380
7428,378
12240,374
8300,374
5255,372
14512,368
32505,366
680,363
7283,362
20366,360
17922,357
20301,356
5875,356
28535,356
16152,356
27389,355
20287,352
24049,350
1376,350
20763,348
15894,347
24068,347
29250,346
26906,346
29839,346
6007,344
30671,344
31140,343
12382,342
32233,341
24319,340
12489,340
34327,339
26113,339
7374,339
34501,338
14404,338
21278,337
9474,336
14125,335
9244,331
18384,331
17769,328
31880,327
11715,324
22192,323
13005,320
919,319
23105,319
18894,317
18465,317
10697,315
33864,314
11263,314
26656,313
26486,313
20465,312
18733,312
17573,310
26068,310
7164,310
33628,309
3543,309
12104,309
30743,309
14587,308
23653,306
9295,306
30958,305
10094,304
27719,303
15131,302
4747,298
1844,297
34285,297
4297,297
31579,296
22589,296
3174,296
22354,295
578,293
14177,292
3621,291
16485,291
24857,291
22467,291
18482,291
23127,290
14917,290
10765,287
1621,287
1936,287
17256,287
9190,286
5534,286
25286,286
18484,284
29649,282
33843,281
33806,280
14947,279
20667,279
7682,278
1634,278
16733,277
7765,276
25969,275
24287,274
32883,273
31805,273
12970,273
11741,273
13470,272
14079,272
23896,271
12028,271
7858,270
16775,270
30293,270
27671,269
22886,269
8124,269
21990,268
18421,267
30341,266
16479,266
1639,265
14216,264
26377,264
148,264
33554,263
26159,262
31227,262
23403,262
12853,261
26577,261
9416,261
25089,259
17279,259
2128,259
32567,259
3175,258
32330,257
18401,257
11710,257
23496,257
26786,256
18112,255
30302,255
31612,255
29758,255
14358,255
8686,254
511,253
31511,253
10301,253
22828,253
23083,252
12079,252
9554,251
28808,251
14776,250
9372,249
819,249
27036,248
33636,248
11733,248
24606,247
18692,246
7759,246
19040,246
19119,246
16552,245
17988,244
10485,244
32341,244
5090,244
1060,243
11445,243
4200,243
24419,241
19498,241
21575,241
11430,240
12111,240
972,240
22941,240
9231,240
17554,238
5016,238
34278,238
28042,238
19260,237
23638,237
31124,236
9245,236
25582,235
28095,235
32070,235
8615,234
18702,234
813,233
29639,233
7537,232
8331,232
30072,232
10692,232
4921,232
16553,232
20969,231
21735,231
13649,230
9652,230
10544,228
11380,228
26802,228
17774,228
29417,227
9074,227
21272,226
590,226
4419,226
26794,226
13858,226
14559,226
32035,226
30762,225
26045,225
32392,224
29838,224
11498,223
3842,223
8604,223
33919,223
31775,223
25873,223
14420,223
16509,222
3352,222
1883,222
11057,222
2424,222
7981,222
22028,221
10328,221
10872,220
18527,219
1288,219
27838,219
27586,219
7779,218
12537,218
30909,218
26058,218
9889,217
25834,217
16066,217
26879,217
27115,217
33743,216
22216,216
508,215
20249,215
21007,215
10067,215
11021,215
13838,214
26575,214
9005,214
2435,213
33055,213
30230,212
29746,212
9664,212
741,212
11324,212
30674,212
10385,212
2344,212
15703,212
30243,211
32210,211
32966,211
15675,211
14504,211
1253,210
18017,209
6025,209
14143,209
34154,209
3715,209
25041,209
12920,209
3034,208
34365,208
10312,208
32864,208
7289,207
24780,207
14653,207
32681,207
10223,207
7187,207
5477,206
19444,206
32077,206
28561,206
13222,206
21861,205
11256,205
31176,205
8728,205
15083,205
25443,205
1359,204
32997,204
20885,203
28832,203
22753,203
7233,203
15909,203
15522,203
11284,203
19775,203
19178,202
11656,202
24333,202
5043,201
23559,201
22383,201
25996,201
30342,200
19075,200
19968,200
9819,199
893,199
13533,199
25905,199
27173,199
31491,199
33038,199
7918,198
8972,198
2680,198
9793,197
3954,197
27710,197
30566,197
9096,196
32205,196
14904,196
32991,196
27740,196
17481,195
403,195
27859,195
11538,195
9052,195
30542,195
15473,195
20016,195
7173,195
14315,195
31965,195
25445,194
17984,194
13813,194
10808,193
425,193
18412,193
5612,193
21837,193
20167,193
12588,193
21461,192
31964,192
27928,192
22405,192
2589,192
33304,192
6304,191
19804,191
21886,191
31467,191
13301,190
18587,190
4132,190
25657,190
32175,190
10843,190
15571,190
2805,189
28496,189
7996,189
4252,189
27824,189
27439,189
8446,189
30492,189
23617,189
5762,188
14262,187
9628,187
20363,187
2295,187
8554,187
8545,187
3998,186
7806,186
2767,186
11703,185
17301,185
439,185
24597,185
7662,185
7841,185
14373,185
25315,185
6530,185
21430,184
6548,184
13320,184
878,184
15373,184
26628,183
13525,183
17663,183
12049,183
16962,183
11574,183
34600,183
15940,183
6687,182
13367,182
24777,182
17753,181
11551,181
12124,181
3970,181
33008,181
23820,181
18070,181
5849,180
27645,180
31750,179
26239,179
29380,179
15330,179
7965,179
8392,179
20281,179
4016,178
23144,178
5497,178
13744,178
24059,178
19318,177
6917,177
14247,177
32719,177
14034,176
3432,176
22765,176
12686,176
27311,176
30473,176
7004,176
1700,175
8153,175
10611,175
12862,175
32688,175
17611,175
11238,175
5800,174
3465,174
23902,174
5968,174
5251,173
23455,173
3797,173
23342,173
14093,172
17688,172
4337,172
10552,172
28111,172
23700,172
406,172
14691,172
30736,172
13675,172
31974,172
29596,171
16832,171
20718,171
11976,171
272,171
19611,171
740,171
11933,171
11135,171
7764,171
15167,171
31295,170
28756,170
6706,170
10435,170
8319,169
12188,169
10004,169
28108,169
21381,169
24659,169
15540,169
19488,169
26506,168
8543,168
993,168
2210,168
31641,168
13389,168
12756,168
6748,167
30875,167
22497,167
31290,167
20937,167
869,167
6741,167
17932,167
26733,166
1514,166
1345,166
23452,166
7766,165
3303,165
31955,165
12461,165
26219,165
13428,165
32879,165
30829,165
9483,165
1959,165
24690,164
6277,164
4338,164
3806,164
20895,164
8212,163
9065,163
16236,163
13590,163
10493,163
3318,163
22580,162
17970,162
20649,162
22408,162
10669,161
17576,161
17661,161
24770,161
9352,161
5946,161
30190,161
14624,161
25882,161
11239,161
2090,161
13680,161
27297,160
8407,160
27224,160
14936,160
34163,160
22993,160
9517,160
23767,160
13722,160
8751,160
28121,160
29442,160
24120,160
7350,159
34374,159
13773,159
22039,159
7689,159
20887,159
3615,159
6019,159
2685,158
4434,158
3783,158
7945,158
1524,158
1056,158
11489,157
2473,157
26731,157
20727,157
32799,157
23090,157
12167,157
19680,157
20959,157
23232,157
6611,157
18330,157
13849,156
5371,156
33295,156
25258,156
10457,156
11015,156
4396,156
15727,155
32304,155
10545,155
12901,155
2458,155
30456,155
18139,154
1266,154
12684,154
19470,154
17567,154
27983,154
14162,154
5232,154
12753,153
589,153
14600,153
9350,153
16717,153
29489,153
31089,153
10042,153
4479,153
16487,153
25527,153
922,153
14956,153
15092,152
29081,152
20471,152
34029,152
12800,152
2636,152
16597,152
28544,152
8546,152
11147,151
32478,151
23266,151
15333,151
6042,151
25806,151
34603,151
20377,151
28693,151
8444,150
29623,150
4146,150
28976,150
14487,150
504,150
3718,150
32898,150
24921,150
3647,150
34157,150
13882,150
18308,150
932,150
23081,150
5308,149
10994,149
6030,149
19380,149
20556,149
7865,149
8525,149
6063,148
23662,148
4808,148
12927,148
18238,148
28868,148
7910,148
24610,147
21857,147
12065,147
12781,147
1705,147
3190,147
29078,147
6483,147
33410,146
17666,146
4167,146
3442,146
11634,146
29224,146
32468,146
3693,146
29937,146
11520,146
31190,146
28650,145
21612,145
5441,145
7801,145
24280,145
30345,145
15354,145
25392,145
8760,144
1371,144
8537,144
7729,144
12513,144
23206,144
23049,144
33720,144
3100,144
32479,144
28359,144
14440,144
33108,143
2301,143
22056,143
15726,143
21839,143
2534,143
26358,143
18227,143
24700,142
20717,142
14215,142
465,142
33057,142
32381,142
18827,142
21962,142
32610,142
25998,141
32554,141
10918,141
5654,141
26470,141
15256,141
15470,141
23686,141
26436,141
20445,141
15846,141
23839,141
23454,141
26961,141
5858,141
11043,140
12196,140
16007,140
31917,140
4319,140
4494,140
3210,140
21505,140
9210,140
12902,140
10298,140
29019,139
33339,139
12826,139
25444,139
17140,139
2972,139
4605,139
6884,139
28815,139
33354,139
29186,138
8390,138
18600,138
23530,138
30358,138
27331,138
29382,138
29975,138
32541,138
20286,138
20505,138
2087,138
1467,138
18055,138
22821,138
29120,138
10986,138
7246,137
2480,137
9085,137
29325,137
4502,137
5645,137
23251,137
20028,137
31200,136
7928,136
5040,136
27209,136
25647,136
